Date,Startup Name,Industry Vertical,SubVertical,City  Location,Investors Name,InvestmentnType,Amount in USD,No of Investors
12/12/2019,ECOZEN,TECHNOLOGY,AGRITECH SUPPLY CHAIN SOLUTION PROVIDER,PUNE,SATHGURU CATALYZER ADVISORS,SERIES A,6000000,1
11/12/2019,REIN GAMES,GAMING,REAL MONEY BASED GAMING STARTUP,NOIDA,MANIPAL EDUCATION AND MEDICAL GROUP (MEMG),SEED FUNDING,50000000,1
06/12/2019,CARDEKHO ,ECOMMERCE DISCOUNT AND CASHBACK COUPONS PLATFORM,AUTOMOBILE CLASSIFIEDS PORTAL,GURUGRAM,PING AN GLOBAL VOYAGER FUND,SERIES D,70000000,1
03/12/2019,DHRUVA SPACE,AEROSPACE,SATELLITE COMMUNICATION,BENGALURU,"MUMBAI ANGELS, RAVIKANTH REDDY",SEED FUNDING,50000000,2
25/11/2019,PAYTM MARKETPLACE,FINTECH STARTUP INCUBATION PLATFORM,MOBILE WALLET AND ECOMMERCE PLATFORM,NOIDA,"VIJAY SHEKHAR SHARMA, PRAVIN GANDHI, SMART START FUND; KUNAL SHAH, SANDEEP TANDON, VISHAL GONDAL, AND OTHERS",FUNDING ROUND,1000000000,6
20/11/2019,AYE FINANCE,FINTECH STARTUP INCUBATION PLATFORM,FINANCIAL SERVICES TO MSMES,GURUGRAM,FINTECH,DEBT FUNDING,17411265,1
20/11/2019,CLUMIO,SAAS PRODUCT INTELLIGENCE PLATFORM,RECOVERY SOFTWARE,"SAN JOSE,","ALTIMETER CAPITAL, SUTTER HILL VENTURES",SERIES C,135000000,2
19/11/2019,DIGITAL MALL ASIA,ECOMMERCE DISCOUNT AND CASHBACK COUPONS PLATFORM,VIRTUAL ECOMMERCE PLATFORM,DELHI,AMOUR INFRASTRUCTURE,SEED FUNDING,220000000,1
19/11/2019,FURTADOS SCHOOL OF MUSIC,EDUCATION CONTENT PROVIDER,MUSIC EDUCATION,TULANGAN,IAN FUND AND DSG CONSUMER PARTNERS,PRIVATE EQUITY,200000000,1
18/11/2019,HEALTHIANS,HEALTH AND WELLNESS,HEALTHCARE SERVICES AND ONLINE PHARMACY MOBILE APP,GURUGRAM,"DG DAIWA VENTURES, DG INCUBATION",SERIES B,12000000,2
18/11/2019,MEDIKABAZAAR,HEALTHCARE SERVICES DISCOVERY PLATFORM,B2B PLATFORM FOR MEDICAL SUPPLIES,MUMBAI,"ACKERMANS AND VAN HAAREN, HEALTHQUAD, REBRIGHT PARTNERS, TOPPAN PRINTING",SERIES B,15800000,4
15/11/2019,NINJACART,B2B MARKETING,AGRITECH SUPPLY CHAIN SOLUTION PROVIDER,BENGALURU,"TRIFECTA CAPITAL ADVISORS LLP, PRATHITHI INVESTMENT TRUST, RNT CAPITAL, GOKUL RAJARAM, ADITYA AGARWAL, RUCHI SANGHVI AND OTHERS",DEBT FUNDING,26000000,6
15/11/2019,VOGO AUTOMOTIVE PVT. LTD.,LAST MILE TRANSPORTATION,SCOOTER SHARING APP,KORMANGALA,"MATRIX PARTNERS, STELLARIS VENTURE PARTNERS, KALAARI CAPITAL",SERIES B,283000000,3
14/11/2019,MISTERS,HEALTH AND WELLNESS,MEN'S HEALTH AND WELLNESS BRAND,GURUGRAM,"SAUCE.VC, RAINFOREST VENTURES",SERIES B,486000,2
13/11/2019,FRESHWORKS,SOFTWARE,BUSINESS AND CUSTOMER ENGAGEMENT TOOLS,SAN FRANCISCO,"SEQUOIA, CAPITALG, ACCEL",SERIES H,150000000,3
13/11/2019,SUNSTONE EDUVERSITY PVT. LTD,EDUCATION CONTENT PROVIDER,ELEARNING PLATFORM,GURUGRAM,"PRIME VENTURE PARTNERS, LETSVENTURE, PS1 VENTURE AND GLOBALLOGIC COFOUNDER RAJUL GARG",SEED FUNDING,1500000,3
12/11/2019,SUPERGAMING,VIDEO GAMES,SOCIAL GAMING PLATFORM,PUNE,DREAM INCUBATOR,SEED FUNDING,1300000,1
11/11/2019,EBIKEGO,LAST MILE TRANSPORTATION,ELECTRIC BIKE RENTAL,AMRITSAR,"STARTUP BUDDY,AMIT MANOCHA AND OTHERS",SEED FUNDING,300000,2
04/10/2019,DUNZO,CUSTOMER SERVICE PLATFORM,DELIVERY SERVICE,BENGALURU,"LIGHTBOX VENTURES, AXIS CAPITAL AND OTHERS",SERIES D,45000000,2
02/10/2019,UDAAN,B2B MOBILE AUCTION MARKETPLACE,BUSINESS DEVELOPMENT,BENGALURU,"ALTIMETER CAPITAL, DST GLOBAL",SERIES D,585000000,2
05/09/2019,FPL TECHNOLOGIES,FINTECH STARTUP INCUBATION PLATFORM,FINANCIAL SERVICES AND ANALYTICS EDUCATION INSTITUTE,PUNE,"MATRIX PARTNERS INDIA, SEQUOIA INDIA",MAIDEN ROUND,4500000,2
04/09/2019,CASHFLO,FINTECH STARTUP INCUBATION PLATFORM,INVOICE DISCOUNTING PLATFORM AND SME LENDING MARKETPLACE,MUMBAI,"SAIF PARTNERS, APRAMEYA RADHAKRISHNAN, PHANINDRA SAMA, SUBBA RAO TELIDEVARA, VIBHU GARG, PAULA RAVINDRA MARIWALA, GAURAV BHALOTIA",SERIES A,3300000,7
04/09/2019,DIGITAL F5,"ADVERTISING, MARKETING",DIGITAL MARKETING FIRM,MUMBAI,TIW PRIVATE EQUITY,PRIVATE EQUITY,6000000,1
04/09/2019,3RDFLIX,SAAS PRODUCT INTELLIGENCE PLATFORM,EDUCATION TECHNOLOGY PLATFORM,HYDERABAD,"EXFINITY VENTURE PARTNERS, BLUME VENTURES, BEENEXT, RAJESH RANAVAT",PRE-SERIES A,5000000,4
04/09/2019,75F,IOT,BUILDING AUTOMATION SYSTEM,BURNSVILLE,BREAKTHROUGH ENERGY VENTURES,SERIES A,18000000,1
04/09/2019,MYELIN FOUNDRY,INFORMATION TECHNOLOGY,DEEPTECHNOLOGY,BENGALURU,"ENDIYA PARTNERS, VENTUREAST",SEED FUNDING,1000000,2
04/09/2019,ATOMBERG TECHNOLOGY,CONSUMER TECHNOLOGY,"CONSUMER ELECTRONICS, HOME APPLIANCES",MUMBAI,A91 PARTNERS,SERIES A,10000000,1
04/09/2019,GOQII,HEALTH AND WELLNESS,WEARABLE FITNESS BANDS,MENLO PARK,BENNETT COLEMAN AND COMPANY LTD (BCCL),SERIES C,450000000,1
03/09/2019,VYAPAR APP,ACCOUNTING,MOBILEBASED ACCOUNTING SOFTWARE,BENGALURU,"INDIA QUOTIENT, AXILOR VENTURES",SERIES A,5000000,2
27/08/2019,RAPIDO BIKE TAXI,TRANSPORTATION AND LOGISTICS PLATFORM,BIKE TAXI SERVICE AND HYPERLOCAL DELIVERY APP,BENGALURU,"WESTBRIDGE CAPITAL, OMIDYAR NETWORK, ELEVAR EQUITY, SAAMA CAPITAL, LOK CAPITAL",SERIES B,3900000000,5
23/08/2019,ZENDRIVE,AUTOMOTIVE,ROAD SAFETY ANALYTICS,SAN FRANCISCO,XL INNOVATE,SERIES B,37000000,1
23/08/2019,LO! FOODS,CONSUMER GOODS,LOW CARB FOOD FOR DIABETICS,BENGALURU,"RASHMI DAGA (FOUNDER, FRESHMENU), RAVEEN SASTRY (COFOUNDER, MYNTRA) AND MITESH SHAH (FINANCE CHIEF, BOOKMYSHOW)",SEED FUNDING,500000,5
23/08/2019,TALA,FINTECH STARTUP INCUBATION PLATFORM,DIGITAL LENDING PLATFORM,SANTA MONICA,RPS VENTURES,SERIES D,110000000,1
23/08/2019,ADMITKARD,EDTECH,UNIVERSITY ADMISSIONS,NOIDA,GROWTH DNA,SEED FUNDING,1000000,1
22/08/2019,INDWEALTH,FINTECH STARTUP INCUBATION PLATFORM,WEALTH MANAGEMENT,GURUGRAM,"TIGER GLOBAL MANAGEMENT, BERTELSMANN INDIA, STEADVIEW CAPITAL, LIBERTY MEDIA, MOUSSE PARTNERS, QUILVEST",VENTURE ROUND,15000000,6
21/08/2019,HUNGERBOX,FOOD AND BEVERAGES,B2B FOODTECH,BENGALURU,ONE97 COMMUNICATIONS LTD.,SERIES C,6590000,1
19/08/2019,GROFERS,ECOMMERCE DISCOUNT AND CASHBACK COUPONS PLATFORM,GROCERY DELIVERY,GURUGRAM,"SOFTBANK VISION FUND, LIGHTSPEED VENTURE PARTNERS, SEQUOIA CAPITAL INDIA ADVISORS, GREENOAKS CAPITAL PARTNERS",SERIES F,70000000,4
13/08/2019,CARS24,ECOMMERCE DISCOUNT AND CASHBACK COUPONS PLATFORM,CAR RETAIL,GURUGRAM,MS DHONI,SERIES D,11000000,1
13/08/2019,UNIPHORE,CUSTOMER SERVICE PLATFORM,CONVERSATIONAL AI,PALO ALTO,MARCH CAPITAL PARTNERS,SERIES C,51000000,1
12/08/2019,MEESHO,ECOMMERCE DISCOUNT AND CASHBACK COUPONS PLATFORM,SOCIAL COMMERCE,BENGALURU,NASPERS,SERIES D,125000000,1
01/08/2019,CARDEKHO ,ECOMMERCE DISCOUNT AND CASHBACK COUPONS PLATFORM,AUTOMOTIVE,GURUGRAM,SC GG INDIA MOBILITY HOLDINGS LLC,SERIES C,20000000,1
01/08/2019,PROGCAP,FINANCE,SUPPLY CHAIN MANAGEMENT,NEW DELHI,"SEQUOIA INDIA, LIGHTSPEED VENTURE PARTNERS, NEXUS VENTURE PARTNERS, GLOBAL FOUNDERS CAPITAL, APOLETTO",SERIES A,5000000,5
01/08/2019,MYPETROLPUMP,RETAIL,FUEL DELIVERY,BENGALURU,UNDISCLOSED INVESTORS AND TAMARIND FAMILY PRIVATE TRUST,SEED FUNDING,1600000,1
01/08/2019,ALTERIA CAPITAL,FINANCE,VC FUNDS,MUMBAI,"AZIM PREMJI, BINNY BANSAL",SINGLE VENTURE,140000000,2
01/08/2019,PINE LABS,INFORMATION TECHNOLOGY,LASTMILE RETAIL TRANSACTION TECHNOLOGY,NOIDA,PINE LABS PTE LTD,CORPORATE ROUND,38080000,1
11/07/2019,MOGLIX,ECOMMERCE DISCOUNT AND CASHBACK COUPONS PLATFORM,INDUSTRIAL TOOLS AND EQUIPMENTS,SINGAPORE,"COMPOSITE CAPITAL MANAGEMENT, SEQUOIA CAPITAL INDIA, TIGER GLOBAL MANAGEMENT",SERIES D,60000000,3
10/07/2019,"""BYJU'S""",EDTECH,"EDUCATION NETWORK FOR INSTITUTIONS, TEACHERS AND STUDENTS",BENGALURU,QATAR INVESTMENT AUTHORITY,PRIVATE EQUITY,150000000,1
10/07/2019,EZYHAUL,TECH PLATFORM FOR PROPERTY BROKERS,LOGISTICS AND TRUCK AGGREGATOR PLATFORM,SINGAPORE,"UNDISCLOSED JAPANESE INVESTOR, BERTELSMANN INDIA INVESTMENTS, NIRVANA DIGITAL INDIA FUND, NIRVANA DIGITAL INVESTMENT HOLDING CO LTD, 500 STARTUPS",SERIES B,16000000,5
10/07/2019,INDUS OS,TECH PLATFORM FOR PROPERTY BROKERS,SMARTPHONE OPERATING SYSTEM,ANDHERI,"VENTUREAST, ENDIYA PARTNERS, EIGHT ROADS VENTURES, TOUCHSTONE EQUITIES, BVR MOHAN REDDY",SERIES B,5750000,5
10/07/2019,HEALTHASSURE,HEALTH CARE,PRIMARY CARE MEDICAL NETWORK,MUMBAI,"BLUME VENTURES, CONTRARIAN CAPITAL, 91SPRINGBOARD, EMERGENT VENTURES, ABSTRACT VENTURES, ANTHILL VENTURES, AXILOR VENTURES",SERIES A,2500000,7
09/07/2019,HOUSE OF MSASABA,LUXURY LABEL,CLOTHES AND APPAREL,MUMBAI,"BINNY BANSAL, ANUPAM MITTAL, SACHIN BHATIA, DARIUS PANDOLE, KUNAL KHATTAR, DHEERAG JAIN",SERIES A,1000000,6
08/07/2019,BOARD INFINITY,EDTECH,FULLSTACK CAREER PLATFORM,CHEMBUR,MULTIPLE ANGEL INVESTORS,ANGEL FUNDING,319605,1
04/07/2019,DAALCHINI TECHNOLOGIES,FOOD AND BEVERAGES,DIGITAL VENDING MACHINE,NEW DELHI,ARTHA VENTURE,SEED FUNDING,500000,1
03/07/2019,OLA CABS,TRANSPORTATION AND LOGISTICS PLATFORM,CABS,KORMANGALA,"DIG INVESTMENT AB, DESHE HOLDINGS, SAMIH TOUKAN AND HUSSAM KHOURY",SERIES J,1000000,3
02/07/2019,RENEWBUY,FINANCE,AUTO INSURANCE,GURUGRAM,"LOK CAPITAL, IIFL WEALTH",SERIES B,19000000,2
02/07/2019,ATLAN,INFORMATION TECHNOLOGY,BIG DATA BASED ANALYTICS PLATFORM,SINGAPORE,WATERBRIDGE VENTURES,PRE-SERIES A,2500000,1
01/07/2019,WIZCOUNSEL,COMPLIANCE,CONSULTING,NEW DELHI,KAPIL DEV,ANGEL FUNDING,145000,1
01/07/2019,UNIPHORE,ARTIFICIAL INTELLIGENCE PLATFORM,SPEECH RECOGNITION SOLUTIONS,TARAMANI,MARCH CAPITAL PARTNERS,SERIES C,38080000,1
10/06/2019,BOLO APP,DIGITAL MEDIA,VIDEO PLATFORM,BENGALURU,"NEXUS VENTURE PARTNERS, MGV, LIQUID 2 VENTURES, HACK VC, EMERGENT VENTURES AND Y COMBINATOR",SEED FUNDING,430200,5
10/06/2019,OKCREDIT,FINTECH STARTUP INCUBATION PLATFORM,FINANCIAL SERVICES AND ANALYTICS EDUCATION INSTITUTE,HARYANA,"TIGER GLOBAL MANAGEMENT, BERTELSMANN INDIA, STEADVIEW CAPITAL, LIBERTY MEDIA, MOUSSE PARTNERS, QUILVEST",SERIES A,15500000,6
08/06/2019,VOGO AUTOMOTIVE PVT. LTD.,TRANSPORTATION AND LOGISTICS PLATFORM,DOCKLESS SCOOTER RENTAL COMPANY,KARNATAKA,ALTERIA CAPITAL,DEBT FUNDING,3584000,1
06/06/2019,SISTEMA.BIO,AGRICULTURE,HYBRID REACTOR BIODIGESTOR,NAIROBI,"SHELL FOUNDATION, DILA CAPITAL, ENGIE RDE FUND, ECOENTERPRISE FUND, EDFIMC (ELECTRIFI), ENDEAVOR CATALYST FUND, COCAPITAL, TRIODOS, ALPHA MUNDI, AND LENDAHAND",PRIVATE EQUITY,2739035,10
06/06/2019,CHAKR INNOVATION,ENERGY,RENEWABLE ENERGY,NEW DELHI,"IAN FUND, BEENEXT, INDIAN ANGEL NETWORK",SERIES A,26000000,3
06/06/2019,PRATILIPI,DIGITAL MEDIA,EBOOKS,BENGALURU,QIMING VENTURE PARTNERS,SERIES B,15109500,1
06/06/2019,BIZ2CREDIT,FINTECH STARTUP INCUBATION PLATFORM,ONLINE LENDING PLATFORM FOR SALARIED PROFESSIONALS,NEW YORK,"WESTBRIDGE CAPITAL, OMIDYAR NETWORK, ELEVAR EQUITY, SAAMA CAPITAL, LOK CAPITAL",SERIES B,52000000,5
05/06/2019,NOBROKER,ECOMMERCE DISCOUNT AND CASHBACK COUPONS PLATFORM,REAL ESTATE RISK ASSESSMENT PLATFORM,BENGALURU,GENERAL ATLANTIC,SERIES C,51000000,1
04/06/2019,BIRA91,FOOD AND BEVERAGES,BREWERY,NEW DELHI,ANICUT CAPITAL,DEBT FUNDING,10000000,1
04/06/2019,BHARATPE,FINANCE,FINTECH PRODUCT DEVELOPMENT AND SERVICES STARTUP,NEW DELHI,INSIGHT PARTNERS,SERIES B,75000000,1
04/06/2019,RECYKAL,WASTE MANAGEMENT SERVICE,OPTIMIZATION,HYDERABAD,"TRITON INVESTMENT ADVISORS, PIDILITE INDUSTRIES DIRECTOR AJAY PAREKH",PRE-SERIES A,26000000,2
04/06/2019,LEEGALITY,SERVICES PLATFORM,DIGITAL DOCUMENTATION,MUMBAI,"MUMBAI ANGELS NETWORK, FIRESIDE VENTURES, SINGAPORE ANGEL NETWORK",SERIES A,3400000,3
03/06/2019,FABHOTELS,ECOMMERCE DISCOUNT AND CASHBACK COUPONS PLATFORM,HOSPITALITY,GURUGRAM,"GOLDMAN SACHS, ACCEL PARTNERS AND QUALCOMM",PRIVATE EQUITY,4889976,2
03/06/2019,AVAIL FINANCE,FINANCE,FINTECH PRODUCT DEVELOPMENT AND SERVICES STARTUP,BENGALURU,"MATRIX PARTNERS, BHAVISH AGGARWAL, ANKIT BHATI, BINNY BANSAL, KUNAL SHAH AND MANISH PATEL.",SERIES A,9000000,5
03/06/2019,AGARA LABS,DEEPTECH,ARTIFICIAL INTELLIGENCEBASED SALES ACCELERATION SOFTWARE PLATFORM,BENGALURU,BLUME VENTURES AND RTP GLOBAL,PRE-SERIES A,2500000,1
31/05/2019,BIRA91,FOOD AND BEVERAGES,BREWERY,NEW DELHI,SIXTH SENSE VENTURES,SERIES B,5600000,1
30/05/2019,GLOWROAD,ECOMMERCE DISCOUNT AND CASHBACK COUPONS PLATFORM,RETAIL FOOD AND SNACK OFFLINE CENTRES,BENGALURU,"KOREA INVESTMENT PARTNERS, VERTEX VENTURES",SERIES B,11500000,2
28/05/2019,ATHER ENERGY,AUTOMOBILE,ELECTRIC VEHICLE MANUFACTURER,BENGALURU,"SACHIN BANSAL AND BINNY BANSAL, SOL PRIMERO, OUTBOX VENTURES, SANGRAM SINGH",SERIES C,51000000,4
28/05/2019,FRESHVNF,AGTECH,FRESH AGRICULTURE PRODUCES,MUMBAI,EQUANIMITY VENTURES,SEED FUNDING,140000000,1
06/05/2019,SAAHAS ZERO WASTE,WASTE MANAGEMENT SERVICE,OPTIMIZATION,BENGALURU,C4D PARTNERS,VENTURE - SERIES UNKNOWN,868600,1
02/05/2019,ZENOTI,SAAS PRODUCT INTELLIGENCE PLATFORM,BEAUTY AND WELLNESS INDUSTRY,HYDERABAD,"TIGER GLOBAL MANAGEMENT, BERTELSMANN INDIA, STEADVIEW CAPITAL, LIBERTY MEDIA, MOUSSE PARTNERS, QUILVEST",SERIES C,50000000,6
01/05/2019,BLACKBUCK,TRANSPORTATION AND LOGISTICS PLATFORM,LOGISTICS AND TRUCK AGGREGATOR PLATFORM,BENGALURU,"GOLDMAN SACHS INVESTMENT PARTNERS AND SILICON VALLEYBASED ACCEL, WELLINGTON, SEQUOIA CAPITAL, B CAPITAL, LIGHTSTREET, SANDS CAPITAL AND INTERNATIONAL FINANCE CORPORATION,",SERIES D,150000000,7
19/04/2019,MY HEALTHCARE,ECOMMERCE DISCOUNT AND CASHBACK COUPONS PLATFORM,SOFTWARE SOLUTIONS FOR MANDAS,BENGALURU AND GURUGRAM,SIXTH SENSE VENTURES,SERIES A,3000000,1
19/04/2019,KRAZYBEE,ECOMMERCE DISCOUNT AND CASHBACK COUPONS PLATFORM,LENDING PLATFORM FOR MICRO AND SMALL ENTERPRISES,BENGALURU,"BAC ACQUISITIONS, UNIFI AIF, BRD SECURITIES, NORTHERN R CAPITAL",DEBT FUNDING,14342000,4
17/04/2019,SHUTTL,TRANSPORTATION AND LOGISTICS PLATFORM,BUS AGGREGATION PLATFORM,GURUGRAM,NEW ATLANTIC VENTURES,VENTURE ROUND,5000000,1
17/04/2019,INCREFF,TECHNOLOGY,SUPPLYCHAIN TECHNOLOGY SOLUTIONS,BENGALURU,"021 CAPITA, BINNY BANSAL",SERIES A,3000000,2
16/04/2019,KUVERA,FINANCE,WEALTH MANAGEMENT,BENGALURU,EIGHT ROADS VENTURES INDIA,SERIES A,45000000,1
13/04/2019,TRIPOTO,SOCIAL MEDIA,TRAVEL PACKAGES AND PLANNER MARKETPLACE,NEW DELHI,"ORCHID INDIA, HORNBILL ORCHID INDIA FUND, CHIRATAE VENTURES (FORMERLY IDG VENTURES), 3ONE4 CAPITAL, LASMER NV",SERIES B,3591375,5
12/04/2019,MEDLIFE,ECOMMERCE DISCOUNT AND CASHBACK COUPONS PLATFORM,ONLINE MEDICINE,BENGALURU,PRASID UNO FAMILY TRUST,PRIVATE EQUITY,17000000,1
12/04/2019,AZAH,HEALTH AND WELLNESS,ORGANIC WELLNESS,GURUGRAM,UNNAMED ANGEL INVESTORS,SEED FUNDING,200000,1
11/04/2019,SETU,FINTECH STARTUP INCUBATION PLATFORM,BANKING SOFTWARE LICENSE PLATFORM,BENGALURU,"LIGHTSPEED INDIA PARTNERS, BLUME VENTURES, CYBERAGENT VENTURES, GROWX VENTURES, IMJ INVESTMENT PARTNERS",SEED FUNDING,3500000,5
11/04/2019,CLEVERTAP,SAAS PRODUCT INTELLIGENCE PLATFORM,MOBILE ANALYTICS AND MARKETING,MUMBAI,"SEQUOIA INDIA, TIGER GLOBAL MANAGEMENT, ACCEL PARTNERS",SERIES B,26000000,3
10/04/2019,KABADIWALA,ECOMMERCE DISCOUNT AND CASHBACK COUPONS PLATFORM,WASTE MANAGEMENT,BHOPAL,"UNILEVER, BEEHIVE CAPITAL ADVISOR, ABCOM INVESTMENTS, PAREKH MARINE TRANSPORT,",PRIVATE EQUITY,430665,5
10/04/2019,TOPPR ,EDTECH,ELEARNING PLATFORM,MUMBAI,MILESTONE,DEBT AND PREFERENCE CAPITAL,6320820,1
10/04/2019,CRAFTSVILLA,ECOMMERCE DISCOUNT AND CASHBACK COUPONS PLATFORM,FASHION AND APPAREL,MUMBAI,SUPERA PTE LTD,INHOUSE FUNDING,2443495,1
10/04/2019,UNACADEMY,EDTECH,ELEARNING PLATFORM,BENGALURU,KALYAN KRISHNAMURTHY,ANGEL FUNDING,307000,1
13/02/2019,NANOCLEAN GLOBAL,NANOTECHNOLOGY,ANTIPOLLUTION,NEW DELHI,"LETSVENTURE, PITCHRIGHT VENTURE, 91SPRINGBOARD, AL NOUR INTERNATIONAL HOLDINGS AND MARK V INVESTMENTS",SERIES A,600000,4
08/02/2019,ZILINGO,ECOMMERCE DISCOUNT AND CASHBACK COUPONS PLATFORM,FASHION AND APPAREL,INDIA,"SEQUOIA CAPITAL AND TEMASEK HOLDINGS, EDBI, BURDA PRINCIPAL INVESTMENTS, AND SOFINA",SERIES D,226000000,4
04/01/2019,VYOME THERAPEUTICS INC.,HEALTH AND WELLNESS,SPECIALTY PHARMACEUTICAL,INDIA,"IRON PILLAR, PERCEPTIVE ADVISORS, ROMULUS CAPITAL AND KALAARI CAPITAL",SERIES D,22000000,3
04/01/2019,SAMUNNATI FINANCIAL INTERMEDIATION AND SERVICES PVT. LTD,FINANCE,NONBANKING FINANCIAL COMPANY,CHENNAI,"MASSIF, A DUTCH GOVERNMENT FUND",DEBT FUNDING,5000000,2
03/01/2019,CARDEKHO ,AUTOMOBILE,ONLINE MARKETPLACE FOR MULTIBRAND BEAUTY COSMETIC AND WELLNESS PRODUCTS,JAIPUR,"SEQUOIA INDIA, HILLHOUSE CAPITAL, ALPHABET X80X99S GROWTH INVESTMENT ARM CAPITAL G AND AXIS BANK",SERIES C,110000000,3
06/12/2018,SHOPKIRANA,B2B MOBILE AUCTION MARKETPLACE,ECOMMERCE PORTAL FOR SENIOR CITIZENS,INDORE,"INFO EDGE, AET FUND, AKATSUKI AND INCUBATE FUND FROM JAPAN AND BETTER CAPITAL ANGELLIST SYNDICATE.",SEED FUNDING,2000000,3
06/12/2018,BUILDSUPPLY,"SAAS, ECOMMERCE","REAL ESTATE, ERP",GURUGRAM,"VENTURE HIGHWAY, GREE VENTURES, SPACE MATRIX, INDIVIDUAL INVESTORS",SERIES A,3500000,4
04/12/2018,MANCH,SOCIAL MEDIA,HYPERLOCAL CONTENT,DELHI,"STELLARIS VENTURE PARTNERS AND KALAARI CAPITAL, RAJAN ANANDAN FROM GOOGLE, DILIP KHANDWELWAL FROM SAP LABS INDIA, AND AMRISH RAU FROM PAYU INDIA",SEED FUNDING,700000,4
